[2025-03-29 15:23:06,632] 1025 httpx - INFO - HTTP Request: POST https://api.ai21.com/studio/v1/chat/completions "HTTP/1.1 200 OK"
[2025-03-29 15:23:10,331] 1025 httpx - INFO - HTTP Request: POST https://api.ai21.com/studio/v1/chat/completions "HTTP/1.1 200 OK"
[2025-03-29 15:24:31,305] 402 PyPDF2._reader - WARNING - Previous trailer can not be read ("'NumberObject' object is not subscriptable",)
[2025-03-29 15:24:31,316] 402 PyPDF2._reader - WARNING - Object ID 7599,0 ref repaired
[2025-03-29 15:24:31,603] 402 PyPDF2._reader - WARNING - Object 7309 0 found
[2025-03-29 15:24:31,625] 402 PyPDF2._reader - WARNING - Object ID 7601,0 ref repaired
[2025-03-29 15:24:31,633] 402 PyPDF2._reader - WARNING - Object 1 0 found
[2025-03-29 15:24:31,651] 402 PyPDF2._reader - WARNING - Object 3 0 found
[2025-03-29 15:24:31,661] 402 PyPDF2._reader - WARNING - Object 6 0 found
[2025-03-29 15:24:31,673] 402 PyPDF2._reader - WARNING - Object 8 0 found
[2025-03-29 15:24:31,683] 402 PyPDF2._reader - WARNING - Object 11 0 found
[2025-03-29 15:24:31,693] 402 PyPDF2._reader - WARNING - Object 14 0 found
[2025-03-29 15:24:31,710] 402 PyPDF2._reader - WARNING - Object 17 0 found
[2025-03-29 15:24:31,723] 402 PyPDF2._reader - WARNING - Object 20 0 found
[2025-03-29 15:24:31,733] 402 PyPDF2._reader - WARNING - Object 23 0 found
[2025-03-29 15:24:31,749] 402 PyPDF2._reader - WARNING - Object 26 0 found
[2025-03-29 15:24:31,760] 402 PyPDF2._reader - WARNING - Object 29 0 found
[2025-03-29 15:24:31,774] 402 PyPDF2._reader - WARNING - Object 32 0 found
[2025-03-29 15:24:31,789] 402 PyPDF2._reader - WARNING - Object 35 0 found
[2025-03-29 15:24:31,803] 402 PyPDF2._reader - WARNING - Object 37 0 found
[2025-03-29 15:24:31,815] 402 PyPDF2._reader - WARNING - Object 40 0 found
[2025-03-29 15:24:31,831] 402 PyPDF2._reader - WARNING - Object 43 0 found
[2025-03-29 15:24:31,847] 402 PyPDF2._reader - WARNING - Object 46 0 found
[2025-03-29 15:24:31,860] 402 PyPDF2._reader - WARNING - Object 49 0 found
[2025-03-29 15:24:31,877] 402 PyPDF2._reader - WARNING - Object 52 0 found
[2025-03-29 15:24:31,891] 402 PyPDF2._reader - WARNING - Object 55 0 found
[2025-03-29 15:24:31,905] 402 PyPDF2._reader - WARNING - Object 58 0 found
[2025-03-29 15:24:31,923] 402 PyPDF2._reader - WARNING - Object 61 0 found
[2025-03-29 15:24:31,941] 402 PyPDF2._reader - WARNING - Object 63 0 found
[2025-03-29 15:24:31,959] 402 PyPDF2._reader - WARNING - Object 66 0 found
[2025-03-29 15:24:31,973] 402 PyPDF2._reader - WARNING - Object 69 0 found
[2025-03-29 15:24:31,991] 402 PyPDF2._reader - WARNING - Object 72 0 found
[2025-03-29 15:24:32,005] 402 PyPDF2._reader - WARNING - Object 75 0 found
[2025-03-29 15:24:32,021] 402 PyPDF2._reader - WARNING - Object 78 0 found
[2025-03-29 15:24:32,037] 402 PyPDF2._reader - WARNING - Object 81 0 found
[2025-03-29 15:24:32,053] 402 PyPDF2._reader - WARNING - Object 84 0 found
[2025-03-29 15:24:32,070] 402 PyPDF2._reader - WARNING - Object 87 0 found
[2025-03-29 15:24:32,083] 402 PyPDF2._reader - WARNING - Object 90 0 found
